,Medal,Host,AG.LND.CREL.HA,AG.LND.TOTL.K2,AG.YLD.CREL.KG,BX.KLT.DINV.CD.WD,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,EN.URB.LCTY,EN.URB.LCTY.UR.ZS,FI.RES.TOTL.CD,IS.AIR.DPRT,IT.CEL.SETS,IT.MLT.MAIN,IT.MLT.MAIN.P2,NE.CON.GOVT.CN,NE.CON.GOVT.ZS,NE.CON.PETC.ZS,NE.EXP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.RSB.GNFS.CD,NE.RSB.GNFS.CN,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.ZS,NY.GDP.DISC.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.PRE.DURS,SE.PRM.AGES,SE.PRM.DURS,SE.SEC.DURS,SH.DTH.IMRT,SH.DYN.MORT,SH.IMM.IDPT,SP.POP.2529.FE.5Y,SP.POP.3034.FE.5Y,SP.POP.3539.FE.5Y,SP.POP.GROW,SP.POP.TOTL.FE.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,TM.VAL.MRCH.AL.ZS,TM.VAL.MRCH.HI.ZS,TM.VAL.MRCH.OR.ZS,TM.VAL.MRCH.R1.ZS,TM.VAL.MRCH.R2.ZS,TM.VAL.MRCH.R3.ZS,TM.VAL.MRCH.R4.ZS,TM.VAL.MRCH.R5.ZS,TM.VAL.MRCH.R6.ZS,TM.VAL.MRCH.RS.ZS,TX.VAL.MRCH.AL.ZS,TX.VAL.MRCH.OR.ZS,TX.VAL.MRCH.R1.ZS,TX.VAL.MRCH.R4.ZS,TX.VAL.MRCH.R5.ZS,TX.VAL.MRCH.R6.ZS,TX.VAL.MRCH.RS.ZS
0,174    ,1,71957016.0,9158960.0,4374.1,24760000000.0,0.612766176494973,25.7480106911702,15781501.0,9.00145137735288,104855936881.377,5206200.0,91600.0,112550739.0,47.00275682,631991000000.0,15.640658669193598,61.8249938810001,7.483444052789951,25.0765846353583,-102724000000.0,-102724000000.0,3.5482373348330896,54.7964417251526,3500000.0,7.25908695936059,17134.2860171738,3.0,6.0,6.0,6.0,39827.0,13.0,97.0,8.818833257585538,8.16111404406218,7.1046116520508305,0.8658173363099609,50.953315855001,0.28286047683701193,25.656,2.9446010226214,74.3469263770617,23.587111113585898,4.7408264025876505,0.429721374205757,12.748097934154698,1.43783605410099,1.02215249877572,3.2084768497610496,2.06596250935244,6.0898667970653,22.9796851533637,4.15205263162723,2.7096095288860202,1.4078097892551398,2.01946621577609,5.09031725950031
1,59    ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,53    ,0,6273030.0,230340.0,3195.4,0.0,0.0,98.3586871581141,1932707.0,17.4358944287345,1859571164.96663,22100.0,0.0,1900000.0,8.333381945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,8.0,9049.0,30.8,0.0,7.676672133693019,7.540938178760871,6.12416411642134,0.296830368106553,50.680794983081206,-1.09531684802826,51.074,20.8605754251571,29.908418452966,36.0165816372562,4.76685982237053,3.26881042631794,2.1185375342393202,27.669464356818,1.1282586754659398,0.333461248362467,30.806189483459896,11.8427398328556,21.3312972769767,4.96843770609707,12.7979574760239,1.2757379382783898,0.7830172750737641,32.949691559849896
3,44    ,0,21101600.0,9093510.0,2028.0,4753734373.5467205,1.33767626822795,2.82641136370884,3279588.0,16.7465709513947,8699532578.04879,343600.0,0.0,11827271.0,46.30512952,101800000000.0,22.118750312335,53.3394315611536,27.9884756530789,21.039755085900303,12445371013.8213,16118000000.0,3.52795293368632,52.5163616873847,-602000000.0,5.9253503177749804,13826.6499923594,2.0,6.0,6.0,6.0,3058.0,10.1,0.0,9.277537487464802,8.45901169495751,7.452388013212549,0.961733828951842,50.3204073226507,0.291859754823091,23.805,0.505621946123665,89.4932885062302,6.635584626123519,0.822309146572894,0.0816562082065687,4.19475843770841,0.678273342361014,0.253948412912217,0.604639078362422,3.8711268676462995,1.5047294820439199,6.24063489461799,1.6320893778524501,1.1916456338259,0.6107737612035179,0.47455404655613304,6.145724085306769
4,37    ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,32    ,0,91739562.0,9388250.0,3954.9,1258000000.0,0.483945714588724,110.438580140069,6667007.0,2.89610158507639,21281443729.6592,92500.0,0.0,2774000.0,0.265634135,109488603670.0,15.042738059959,49.758607540108,9.529727783126189,35.1748457345148,61889795.0600052,173291426.168015,4.9918940249555,18.854075189901604,-6786576036.16799,15.1391717583164,250.71396904698798,4.0,7.0,5.0,6.0,1016625.0,54.8,73.0,8.17135936478496,8.26244604512274,5.68346569635199,1.3120687611377901,48.6917655170803,0.469834594276456,77.797,1.47687778865197,82.1187204759299,7.21562492775513,3.81337319965785,1.94001556636125,3.0373669731133504,0.726301756224618,0.547519785461635,0.9644208465942808,6.85228139665709,9.64156363182216,15.5198878400754,4.114544934472661,8.84024865339602,1.8064838427666101,1.4874081952485099,4.25232760044638
6,32    ,0,5074307.0,294110.0,3927.2,1320641872.02662,0.302591866981083,192.365842711911,3425431.0,9.057368712508039,41349282775.6336,161100.0,0.0,16520763.0,29.13246075,72032808900.0,18.188788102554,59.1915326336539,21.0701549650148,23.0452887170294,-1857543861.5825398,-1685535300.0,10.761845149640902,35.946125828677296,-519508800.0,3.22585238366686,7714.18520445985,3.0,6.0,5.0,8.0,6768.0,12.7,0.0,6.8503583608432805,6.6899613620158895,6.80777632848977,0.0223509131041464,51.3214409420936,0.0826946942387471,33.154,13.8100638266291,65.4297164910197,24.059373608431102,1.17440997476622,1.9275048241056898,3.9071396764138298,11.480480926228301,0.5480184058186139,5.02181980109841,10.5109099005492,12.748488352567101,16.5581538856404,1.11525381615036,8.65826870121874,0.6737394519160279,2.4844398269438397,7.9488968284415
7,32    ,0,2687684.0,364700.0,5957.7,-9999999.99999994,-0.000763510302426996,329.086920756786,29946951.0,32.5732015295757,33898635723.3565,416100.0,40392.0,43958545.0,36.841219,45500850632400.0,14.626137829902198,53.813789887195995,14.7227039878195,29.1104038628289,32084287694.4289,7620740223900.0,1.7435129259185902,102.68580283330799,303810637000.0,4.463899015901791,10912.8632505936,3.0,6.0,6.0,6.0,8674.0,7.9,82.0,6.49641891078387,7.73660596386049,8.60921185733904,0.634413291445238,50.643130213215294,0.16536810513230402,23.397,22.1340947002779,69.94133292591289,28.5382592031356,18.006685710634,0.18363301016372,4.6893260007448205,2.5944406207971,1.12559689909954,1.9385769616963602,1.52040787095154,7.47503981379395,21.2376553680302,10.269426304431802,3.05582647782207,1.57323382240692,1.86724337771747,3.18027403198296
8,28    ,0,9728400.0,547566.0,5976.8,2397989218.95718,0.450200808910425,103.13052490476,8880643.0,21.3742282248006,46174644006.7021,259900.0,0.0,22086286.0,40.07764794,158725000000.0,22.366722656866497,56.3723141613871,23.6624354609609,21.1509086194846,586204308.338963,781000000.0,7.0733682119313706,59.137136209546,1000000.0,1.52446943066113,9432.292356815391,3.0,6.0,5.0,7.0,6745.0,10.7,94.0,7.39560968496521,7.551126235757151,7.17076906138721,0.5584552005026511,50.8017568054324,0.275038779175118,26.425,9.78545867356641,69.8835380014176,17.2704903390133,1.22647181419864,0.606993098334803,2.77977867802282,6.79400075682051,0.350461679718939,5.51278431191762,12.845971659569098,10.955304830677399,16.775424426027698,1.14617417765179,7.2636158952259695,0.6593157113132371,5.145182756774879,16.2199371405839
9,24    ,0,17772613.0,7682300.0,1609.3,374592490.887923,0.19358395467640999,2.02335238144826,3393661.0,25.529245001346197,9886483620.48084,214200.0,0.0,5850594.0,37.62782272,39143000000.0,18.319628206508302,56.5042800245241,13.5584811880169,26.6391160076193,-2831008875.2037697,-3126000000.0,7.86923761516924,36.1169850421824,29000000.0,4.63076612888962,12448.7837250425,1.0,6.0,6.0,6.0,2276.0,11.6,62.0,8.27409454000817,7.9619465429954195,7.4530765834719,1.1322218449964099,50.077538150016004,1.54742944481356,14.48,5.55671258994326,89.94051033360991,8.3245586172366,5.468713337684821,0.0751619880462188,1.17009142381549,0.0781483002647734,0.80983357708622,0.7226099903390859,1.7349310491535401,5.92850105347395,18.7901330884575,10.4925084901546,4.22791701789441,1.4682924011756,1.4246383156470799,6.74453528698271
