,Year,Country Name,Medal,Host,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Air transport, passengers carried",Cereal production (metric tons),Cereal yield (kg per hectare),DEC alternative conversion factor (LCU per US$),Discrepancy in expenditure estimate of GDP (current LCU),Exports of goods and services (% of GDP),Exports of goods and services (current US$),External balance on goods and services (% of GDP),External balance on goods and services (current LCU),External balance on goods and services (current US$),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)",GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita (constant 2010 US$),General government final consumption expenditure (% of GDP),Gross capital formation (% of GDP),"Immunization, DPT (% of children ages 12-23 months)","Inflation, GDP deflator (annual %)",Land area (sq. km),Lower secondary school starting age (years),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Mobile cellular subscriptions,Number of infant deaths,"Population ages 25-29, female (% of female population)","Population ages 30-34, female (% of female population)","Population ages 35-39, female (% of female population)",Population density (people per sq. km of land area),Population growth (annual %),Population in largest city,Population in the largest city (% of urban population),"Population, female (% of total)","Preprimary education, duration (years)",Primary school starting age (years),Rural population (% of total population),Rural population growth (annual %),"Secondary education, duration (years)","Total reserves (includes gold, current US$)"
0,1984,United States,174    ,1,50.9587862571704,18.143683626383602,340191488.0,314749500.0,4374.1,1.0,3500000.0,7.483444052789951,302383000000.0,-2.54223718555208,-102724000000.0,-102724000000.0,112550739.0,47.00275682,0.612766176494973,24760000000.0,54.7964417251526,7.25908695936059,31268.9756446518,15.640658669193598,25.0765846353583,97.0,3.5482373348330896,9158960.0,12.0,5.09031725950031,6.0898667970653,71.929997587136,4.15205263162723,0.7114278925238829,11.9793190952953,2.7096095288860202,1.4078097892551398,2.01946621577609,22.9796851533637,2.06596250935244,2.9446010226214,4.7408264025876505,1.43783605410099,1.02215249877572,3.2084768497610496,23.587111113585898,91600.0,39827.0,8.818833257585538,8.16111404406218,7.1046116520508305,25.7480106911702,0.8658173363099609,15781501.0,9.00145137735288,50.953315855001,3.0,6.0,25.656,0.28286047683701193,6.0,104855936881.377
1,1984,West Germany,59    ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1984,Romania,53    ,0,54.0249631779698,14.688374979987099,1163400.0,20044700.0,3195.4,,,,,,,,1900000.0,8.333381945,,,,,,,,,,230340.0,11.0,32.949691559849896,11.8427398328556,42.8408583152909,4.96843770609707,2.87815284788252,1.5061468815035701,12.7979574760239,1.2757379382783898,0.7830172750737641,21.3312972769767,30.806189483459896,20.8605754251571,4.76685982237053,27.669464356818,1.1282586754659398,0.333461248362467,36.0165816372562,0.0,9049.0,7.676672133693019,7.540938178760871,6.12416411642134,98.3586871581141,0.296830368106553,1932707.0,17.4358944287345,50.680794983081206,4.0,7.0,51.074,-1.09531684802826,8.0,1859571164.96663
3,1984,Canada,44    ,0,46.0790185072261,14.6925131007622,19382600.0,42793504.0,2028.0,1.2951,-602000000.0,27.9884756530789,99463361902.5558,3.5020630406111604,16118000000.0,12445371013.8213,11827271.0,46.30512952,1.33767626822795,4753734373.5467205,52.5163616873847,5.9253503177749804,33099.3744457844,22.118750312335,21.039755085900303,,3.52795293368632,9093510.0,12.0,6.145724085306769,1.5047294820439199,87.6136410200752,1.6320893778524501,0.17376319697703,2.15780887820296,1.1916456338259,0.6107737612035179,0.47455404655613304,6.24063489461799,3.8711268676462995,0.505621946123665,0.822309146572894,0.678273342361014,0.253948412912217,0.604639078362422,6.635584626123519,0.0,3058.0,9.277537487464802,8.45901169495751,7.452388013212549,2.82641136370884,0.961733828951842,3279588.0,16.7465709513947,50.3204073226507,2.0,6.0,23.805,0.291859754823091,6.0,8699532578.04879
4,1984,Britain,37    ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1984,China,32    ,0,58.147290108947495,8.28164639995016,5000000.0,362820018.0,3954.9,2.8,-6786576036.16799,9.529727783126189,24772194875.95,0.0238086654181748,173291426.168015,61889795.0600052,2774000.0,0.265634135,0.483945714588724,1258000000.0,18.854075189901604,15.1391717583164,481.364595759347,15.042738059959,35.1748457345148,73.0,4.9918940249555,9388250.0,12.0,4.25232760044638,9.64156363182216,76.1132396250055,4.114544934472661,1.26582788447205,2.11991926419222,8.84024865339602,1.8064838427666101,1.4874081952485099,15.5198878400754,6.85228139665709,1.47687778865197,3.81337319965785,0.726301756224618,0.547519785461635,0.9644208465942808,7.21562492775513,0.0,1016625.0,8.17135936478496,8.26244604512274,5.68346569635199,110.438580140069,1.3120687611377901,6667007.0,2.89610158507639,48.6917655170803,4.0,7.0,77.797,0.469834594276456,6.0,21281443729.6592
6,1984,Italy,32    ,0,48.7946434817589,19.4560785218433,12593600.0,19927800.0,3927.2,0.9074,-519508800.0,21.0701549650148,91959275622.6581,-0.425609453237284,-1685535300.0,-1857543861.5825398,16520763.0,29.13246075,0.302591866981083,1320641872.02662,35.946125828677296,3.22585238366686,25790.7479813438,18.188788102554,23.0452887170294,,10.761845149640902,294110.0,11.0,7.9488968284415,12.748488352567101,75.49294928591809,1.11525381615036,1.2444042764365901,2.38204781297484,8.65826870121874,0.6737394519160279,2.4844398269438397,16.5581538856404,10.5109099005492,13.8100638266291,1.17440997476622,11.480480926228301,0.5480184058186139,5.02181980109841,24.059373608431102,0.0,6768.0,6.8503583608432805,6.6899613620158895,6.80777632848977,192.365842711911,0.0223509131041464,3425431.0,9.057368712508039,51.3214409420936,3.0,6.0,33.154,0.0826946942387471,8.0,41349282775.6336
7,1984,Japan,32    ,0,47.098879756330994,14.4826774579542,50452800.0,16012384.0,5957.7,237.5225,303810637000.0,14.7227039878195,192829146391.605,2.44966842007283,7620740223900.0,32084287694.4289,43958545.0,36.841219,-0.000763510302426996,-9999999.99999994,102.68580283330799,4.463899015901791,28756.6378284286,14.626137829902198,29.1104038628289,82.0,1.7435129259185902,364700.0,12.0,3.18027403198296,7.47503981379395,75.5820705999868,10.269426304431802,0.27445603520576,4.1974693504462,3.05582647782207,1.57323382240692,1.86724337771747,21.2376553680302,1.52040787095154,22.1340947002779,18.006685710634,2.5944406207971,1.12559689909954,1.9385769616963602,28.5382592031356,40392.0,8674.0,6.49641891078387,7.73660596386049,8.60921185733904,329.086920756786,0.634413291445238,29946951.0,32.5732015295757,50.643130213215294,3.0,6.0,23.397,0.16536810513230402,6.0,33898635723.3565
8,1984,France,28    ,0,51.5582631879325,19.367983530910603,23694300.0,58144290.0,5976.8,1.3323,1000000.0,23.6624354609609,126037679201.381,0.110054562261854,781000000.0,586204308.338963,22086286.0,40.07764794,0.450200808910425,2397989218.95718,59.137136209546,1.52446943066113,28144.023418985802,22.366722656866497,21.1509086194846,94.0,7.0733682119313706,547566.0,11.0,16.2199371405839,10.955304830677399,67.0046384333884,1.14617417765179,0.565588947740039,1.9955469373217902,7.2636158952259695,0.6593157113132371,5.145182756774879,16.775424426027698,12.845971659569098,9.78545867356641,1.22647181419864,6.79400075682051,0.350461679718939,5.51278431191762,17.2704903390133,0.0,6745.0,7.39560968496521,7.551126235757151,7.17076906138721,103.13052490476,0.5584552005026511,8880643.0,21.3742282248006,50.8017568054324,3.0,6.0,26.425,0.275038779175118,7.0,46174644006.7021
9,1984,Australia,24    ,0,51.633972135989396,15.3022129253524,13236800.0,28602111.0,1609.3,1.1042,29000000.0,13.5584811880169,26236189096.1782,-1.46302423865173,-3126000000.0,-2831008875.2037697,5850594.0,37.62782272,0.19358395467640999,374592490.887923,36.1169850421824,4.63076612888962,30763.4458550313,18.319628206508302,26.6391160076193,62.0,7.86923761516924,7682300.0,12.0,6.74453528698271,5.92850105347395,74.4653316245598,10.4925084901546,0.430723100838008,0.746053762747788,4.22791701789441,1.4682924011756,1.4246383156470799,18.7901330884575,1.7349310491535401,5.55671258994326,5.468713337684821,0.0781483002647734,0.80983357708622,0.7226099903390859,8.3245586172366,0.0,2276.0,8.27409454000817,7.9619465429954195,7.4530765834719,2.02335238144826,1.1322218449964099,3393661.0,25.529245001346197,50.077538150016004,1.0,6.0,14.48,1.54742944481356,6.0,9886483620.48084
