,Year,Country,Medals,Host country,Adjusted net national income (current US$),Adjusted net national income per capita (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: consumption of fixed capital (% of GNI),Adjusted savings: education expenditure (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: energy depletion (current US$),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: mineral depletion (current US$),Adjusted savings: net forest depletion (% of GNI),Adjusted savings: net forest depletion (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)",Cereal yield (kg per hectare),Coal rents (% of GDP),DEC alternative conversion factor (LCU per US$),"Death rate, crude (per 1,000 people)",Discrepancy in expenditure estimate of GDP (current LCU),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),External balance on goods and services (current LCU),External balance on goods and services (current US$),Fixed telephone subscriptions (per 100 people),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)",GDP deflator (base year varies by country),GDP growth (annual %),General government final consumption expenditure (% of GDP),Gross capital formation (% of GDP),"Immunization, DPT (% of children ages 12-23 months)","Inflation, GDP deflator (annual %)",Land area (sq. km),Lower secondary school starting age (years),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Natural gas rents (% of GDP),Net income from abroad (current US$),Number of infant deaths,"Population ages 25-29, female (% of female population)","Population ages 30-34, female (% of female population)","Population ages 35-39, female (% of female population)",Population density (people per sq. km of land area),Population growth (annual %),Population in largest city,Population in the largest city (% of urban population),"Population, female (% of total)","Preprimary education, duration (years)",Primary school starting age (years),Rural population (% of total population),Rural population growth (annual %),"Secondary education, duration (years)"
0,1984,United States,174    ,1,3371038684133.36,14302.2163649482,0.677713309256644,27368232110.3729,14.7173467867463,6.3,1.78145260627069,71940756889.5507,0.0220357673073343,889874798.325541,0.00290035015124273,117125420.227665,52.2578,50.9587862571704,18.1436836263836,4374.1,0.305370936609393,1.0,8.7,3500000.0,7.48344405278995,-2.54223718555208,-102724000000.0,-102724000000.0,47.1764754647618,0.612766176494973,24760000000.0,54.7964417251526,7.25908695936059,15.6406586691936,25.0765846353583,97.0,3.54823733483309,9158960.0,12.0,5.09031725950031,6.0898667970653,71.929997587136,4.15205263162723,0.711427892523883,11.9793190952953,2.70960952888602,1.40780978925514,2.01946621577609,22.9796851533637,2.06596250935244,2.9446010226214,4.74082640258765,1.43783605410099,1.02215249877572,3.20847684976105,23.5871111135859,0.659310452309925,36290000000.0,39827.0,8.81883325758554,8.16111404406218,7.10461165205083,25.7480106911702,0.865817336309961,15781501.0,9.00145137735288,50.953315855001,3.0,6.0,25.656,0.282860476837012,6.0
1,1984,Germany,59    ,0,614049558213.89,7881.26168829259,0.936496038425207,1032248773.34712,15.8414661080995,4.1,0.326738246870542,2393305380.20722,0.00067329779926541,4931798.65197124,0.0,0.0,20.2606,45.0028188122675,21.3596540181014,5036.6,0.329099539248789,1.4551,11.8,-8445002300.0,21.7851851327338,-2.82553091420912,-29699638800.0,-20410720087.9665,31.42758983231,0.0733574971720028,529910797.861731,65.2367480970701,2.82294783413745,20.5194253793568,23.5323373177231,94.0,1.98914633565232,349130.0,10.0,11.1486728519282,5.02627736290952,76.4556808670627,1.75883304395131,1.16047917235772,2.17196689104694,4.11998063926536,0.84385777198949,2.34052876239824,12.3956462810091,11.5147070454333,4.38475913336249,2.12580715374011,3.60785221120417,0.530422318131815,3.43483583707047,14.0998867255851,0.0880225944038873,7942057109.47701,8249.0,7.08306300847552,6.36551861731606,5.82083927555401,223.007719187695,-0.345666402296961,3042744.0,5.35765477745365,52.2484309532094,3.0,6.0,27.057,0.247431304864632,9.0
2,1984,Romania,53    ,0,98284086541.9225,5842.743538105545,0.936496038425207,1222435988.26171,14.0173750486752,2.3179583,0.219925461734324,2509933632.21676,0.0178015335966991,10526970.8288685,0.0,0.0,65.9102,54.0249631779698,14.6883749799871,3195.4,0.00106011642122491,3.09185,10.3,0.0,32.4734736118608,-0.436935184800547,-276150000.0,-154812540.241468,8.25614525531716,1.92915070489545,1645245645.40658,86.3429918245902,3.60828653816966,16.9817546583851,23.3672089675928,93.0,4.70865202743039,230340.0,11.0,32.9496915598499,11.8427398328556,42.8408583152909,4.96843770609707,2.87815284788252,1.50614688150357,12.7979574760239,1.27573793827839,0.783017275073764,21.3312972769767,30.8061894834599,20.8605754251571,4.76685982237053,27.669464356818,1.12825867546594,0.333461248362467,36.0165816372562,0.0257286582823305,-904947955.0653546,9049.0,7.67667213369302,7.54093817876087,6.12416411642134,98.3586871581141,0.296830368106553,1932707.0,17.4358944287345,50.6807949830812,4.0,7.0,51.074,-1.09531684802826,8.0
3,1984,Canada,44    ,0,277333028853.562,10779.6416559225,0.755881351221647,2602748933.10203,16.1369634464191,6.4,3.00621725258469,10351398052.3424,0.314719399574717,1083682750.13761,0.0,0.0,24.2296,46.0790185072261,14.6925131007622,2028.0,0.300295259722266,1.2951,7.0,-602000000.0,27.9884756530789,3.50206304061116,16118000000.0,12445371013.8213,46.2514556634601,1.33767626822795,4753734373.54672,52.5163616873847,5.92535031777498,22.118750312335,21.0397550859003,93.0,3.52795293368632,9093510.0,12.0,6.14572408530677,1.50472948204392,87.6136410200752,1.63208937785245,0.17376319697703,2.15780887820296,1.1916456338259,0.610773761203518,0.474554046556133,6.24063489461799,3.8711268676463,0.505621946123665,0.822309146572894,0.678273342361014,0.253948412912217,0.604639078362422,6.63558462612352,1.17335217324865,-11039301984.4028,3058.0,9.2775374874648,8.45901169495751,7.45238801321255,2.82641136370884,0.961733828951842,3279588.0,16.7465709513947,50.3204073226507,2.0,6.0,23.805,0.291859754823091,6.0
4,1984,United Kingdom,37    ,0,395247064396.406,6998.5017282452,0.673773541050446,3237171928.91851,15.1679771038162,4.7,2.56568082574118,12326916154.5066,0.00101294498913262,4866734.71808723,0.0,0.0,29.3668,52.754952989508,23.0957061271574,6590.9,0.0303760636109237,0.7518,11.4,-28071358500.0,26.9686681500868,-0.0568621341649709,-197280900.0,-262411412.609737,36.4379768917324,-0.0752615937834713,-347322544.78319,40.3505616781357,2.27623559237631,20.5864158111061,21.9998767531547,65.0,5.02272509347578,241930.0,11.0,6.30454628251739,6.81862485579489,80.653026789395,1.532222585583,0.659269019895246,1.35017528311072,3.53815163933117,1.70106107266233,4.26154732750512,13.0424269280876,6.80058709554818,2.2254817420733,1.59531851461389,1.50803723110155,1.04011787747961,3.22062206535783,9.9615255698828,0.352176572266432,-320180766.161213,7336.0,6.72232176546757,6.48724424741872,7.01897624386271,233.216517174389,0.158261863204096,7807463.0,17.641004943956,51.3868767004484,2.0,5.0,21.56,0.385794971776006,7.0
5,1984,China,32    ,0,234849088530.655,226.292531968227,4.24895039088798,11099150700.5815,4.38243245413877,1.7,5.53155153893287,14449574245.5158,0.181648237623686,474503342.80297,0.0,0.0,20.4928,58.1472901089475,8.28164639995016,3954.9,2.96372759778558,2.8,6.82,-6786576036.16799,9.52972778312619,0.0238086654181748,173291426.168015,61889795.0600052,0.263385085986614,0.483945714588724,1258000000.0,18.8540751899016,15.1391717583164,15.042738059959,35.1748457345148,73.0,4.9918940249555,9388250.0,12.0,4.25232760044638,9.64156363182216,76.1132396250055,4.11454493447266,1.26582788447205,2.11991926419222,8.84024865339602,1.80648384276661,1.48740819524851,15.5198878400754,6.85228139665709,1.47687778865197,3.81337319965785,0.726301756224618,0.547519785461635,0.964420846594281,7.21562492775513,0.0762949439931929,1274863571.42854,1016625.0,8.17135936478496,8.26244604512274,5.68346569635199,110.438580140069,1.31206876113779,6667007.0,2.89610158507639,48.6917655170803,4.0,7.0,77.797,0.469834594276456,6.0
6,1984,Italy,32    ,0,371202603874.283,6563.57731708266,0.515775311556458,2248378053.64314,14.703571559476,4.5,0.142905392723627,622956046.06869,7.7276703124117e-05,336866.149792713,0.0,0.0,13.5804,48.7946434817589,19.4560785218433,3927.2,0.000990707305657949,0.9074,9.5,-519508800.0,21.0701549650148,-0.425609453237284,-1685535300.0,-1857543861.58254,29.0155107262421,0.302591866981083,1320641872.02662,35.9461258286773,3.22585238366686,18.188788102554,23.0452887170294,93.0,10.7618451496409,294110.0,11.0,7.9488968284415,12.7484883525671,75.4929492859181,1.11525381615036,1.24440427643659,2.38204781297484,8.65826870121874,0.673739451916028,2.48443982694384,16.5581538856404,10.5109099005492,13.8100638266291,1.17440997476622,11.4804809262283,0.548018405818614,5.02181980109841,24.0593736084311,0.133501728941091,-1372666629.93167,6768.0,6.85035836084328,6.68996136201589,6.80777632848977,192.365842711911,0.0223509131041464,3425431.0,9.05736871250804,51.3214409420936,3.0,6.0,33.154,0.0826946942387471,8.0
7,1984,Japan,32    ,0,1079300813814.68,8965.52544381718,0.43780683848059,5749410744.97865,17.7914760156535,4.843854,0.00496835140513308,65245881.1576291,0.00117445607265468,15423309.482923,0.0156496968781853,205516514.313393,4.1844,47.098879756331,14.4826774579542,5957.7,0.0157057015754048,237.5225,6.2,303810637000.0,14.7227039878195,2.44966842007283,7620740223900.0,32084287694.4289,36.2694867175481,-0.000763510302426996,-9999999.99999994,102.685802833308,4.46389901590179,14.6261378299022,29.1104038628289,82.0,1.74351292591859,364700.0,12.0,3.18027403198296,7.47503981379395,75.5820705999868,10.2694263044318,0.27445603520576,4.1974693504462,3.05582647782207,1.57323382240692,1.86724337771747,21.2376553680302,1.52040787095154,22.1340947002779,18.006685710634,2.5944406207971,1.12559689909954,1.93857696169636,28.5382592031356,0.00283559448637652,3210607711.69047,8674.0,6.49641891078387,7.73660596386049,8.60921185733904,329.086920756786,0.634413291445238,29946951.0,32.5732015295757,50.6431302132153,3.0,6.0,23.397,0.165368105132304,6.0
8,1984,France,28    ,0,448443417266.898,7938.26422788181,0.467618381687924,2478891803.16586,15.3242699709454,4.7,0.0804015240621141,426216519.205673,0.00092031293841129,4878670.91781209,0.0,0.0,17.5146,51.5582631879325,19.3679835309106,5976.8,0.0273311877581044,1.3323,9.9,1000000.0,23.6624354609609,0.110054562261854,781000000.0,586204308.338963,40.0820082586451,0.450200808910425,2397989218.95718,59.137136209546,1.52446943066113,22.3667226568665,21.1509086194846,94.0,7.07336821193137,547566.0,11.0,16.2199371405839,10.9553048306774,67.0046384333884,1.14617417765179,0.565588947740039,1.99554693732179,7.26361589522597,0.659315711313237,5.14518275677488,16.7754244260277,12.8459716595691,9.78545867356641,1.22647181419864,6.79400075682051,0.350461679718939,5.51278431191762,17.2704903390133,0.0517458029113812,-2538467312.16693,6745.0,7.39560968496521,7.55112623575715,7.17076906138721,103.13052490476,0.558455200502651,8880643.0,21.3742282248006,50.8017568054324,3.0,6.0,26.425,0.275038779175118,7.0
9,1984,Australia,24    ,0,157256393234.591,10081.8582863695,0.755698679443647,1446906033.58357,15.8907561471676,5.1,1.57750803960237,3020391543.10506,0.398932477603224,763820057.56779,0.0,0.0,24.0946,51.6339721359894,15.3022129253524,1609.3,0.889303262647747,1.1042,7.1,29000000.0,13.5584811880169,-1.46302423865173,-3126000000.0,-2831008875.20377,37.7769300533976,0.19358395467641,374592490.887923,36.1169850421824,4.63076612888962,18.3196282065083,26.6391160076193,62.0,7.86923761516924,7682300.0,12.0,6.74453528698271,5.92850105347395,74.4653316245598,10.4925084901546,0.430723100838008,0.746053762747788,4.22791701789441,1.4682924011756,1.42463831564708,18.7901330884575,1.73493104915354,5.55671258994326,5.46871333768482,0.0781483002647734,0.80983357708622,0.722609990339086,8.3245586172366,0.103194155255549,-3711284187.64717,2276.0,8.27409454000817,7.96194654299542,7.4530765834719,2.02335238144826,1.13222184499641,3393661.0,25.5292450013462,50.077538150016,1.0,6.0,14.48,1.54742944481356,6.0
