,Year,Medals,Host country,Adjusted net national income (current US$),Adjusted net national income per capita (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: consumption of fixed capital (% of GNI),Adjusted savings: education expenditure (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: energy depletion (current US$),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: mineral depletion (current US$),Adjusted savings: net forest depletion (% of GNI),Adjusted savings: net forest depletion (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)",Cereal yield (kg per hectare),Coal rents (% of GDP),DEC alternative conversion factor (LCU per US$),"Death rate, crude (per 1,000 people)",Discrepancy in expenditure estimate of GDP (current LCU),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),External balance on goods and services (current LCU),External balance on goods and services (current US$),Fixed telephone subscriptions (per 100 people),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)",GDP deflator (base year varies by country),GDP growth (annual %),General government final consumption expenditure (% of GDP),Gross capital formation (% of GDP),"Immunization, DPT (% of children ages 12-23 months)","Inflation, GDP deflator (annual %)",Land area (sq. km),Lower secondary school starting age (years),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Natural gas rents (% of GDP),Net income from abroad (current US$),Number of infant deaths,"Population ages 25-29, female (% of female population)","Population ages 30-34, female (% of female population)","Population ages 35-39, female (% of female population)",Population density (people per sq. km of land area),Population growth (annual %),Population in largest city,Population in the largest city (% of urban population),"Population, female (% of total)","Preprimary education, duration (years)",Primary school starting age (years),Rural population (% of total population),Rural population growth (annual %),"Secondary education, duration (years)"
0,1984,174,1,3.37E+12,14302.21636,0.677713309,27368232110,14.71734679,6.3,1.781452606,71940756890,0.022035767,889874798.3,0.00290035,117125420.2,52.2578,50.95878626,18.14368363,4374.1,0.305370937,1,8.7,3500000,7.483444053,-2.542237186,-1.03E+11,-1.03E+11,47.17647546,0.612766176,24760000000,54.79644173,7.259086959,15.64065867,25.07658464,97,3.548237335,9158960,12,5.09031726,6.089866797,71.92999759,4.152052632,0.711427893,11.9793191,2.709609529,1.407809789,2.019466216,22.97968515,2.065962509,2.944601023,4.740826403,1.437836054,1.022152499,3.20847685,23.58711111,0.659310452,36290000000,39827,8.818833258,8.161114044,7.104611652,25.74801069,0.865817336,15781501,9.001451377,50.95331586,3,6,25.656,0.282860477,6
1,1984,59,0,6.14E+11,7881.261688,0.936496038,1032248773,15.84146611,4.1,0.326738247,2393305380,0.000673298,4931798.652,0,0,20.2606,45.00281881,21.35965402,5036.6,0.329099539,1.4551,11.8,-8445002300,21.78518513,-2.825530914,-29699638800,-20410720088,31.42758983,0.073357497,529910797.9,65.2367481,2.822947834,20.51942538,23.53233732,94,1.989146336,349130,10,11.14867285,5.026277363,76.45568087,1.758833044,1.160479172,2.171966891,4.119980639,0.843857772,2.340528762,12.39564628,11.51470705,4.384759133,2.125807154,3.607852211,0.530422318,3.434835837,14.09988673,0.088022594,7942057109,8249,7.083063008,6.365518617,5.820839276,223.0077192,-0.345666402,3042744,5.357654777,52.24843095,3,6,27.057,0.247431305,9
2,1984,53,0,98284086542,5842.743538,0.936496038,1222435988,14.01737505,2.3179583,0.219925462,2509933632,0.017801534,10526970.83,0,0,65.9102,54.02496318,14.68837498,3195.4,0.001060116,3.09185,10.3,0,32.47347361,-0.436935185,-276150000,-154812540.2,8.256145255,1.929150705,1645245645,86.34299182,3.608286538,16.98175466,23.36720897,93,4.708652027,230340,11,32.94969156,11.84273983,42.84085832,4.968437706,2.878152848,1.506146882,12.79795748,1.275737938,0.783017275,21.33129728,30.80618948,20.86057543,4.766859822,27.66946436,1.128258675,0.333461248,36.01658164,0.025728658,-904947955.1,9049,7.676672134,7.540938179,6.124164116,98.35868716,0.296830368,1932707,17.43589443,50.68079498,4,7,51.074,-1.095316848,8
3,1984,44,0,2.77E+11,10779.64166,0.755881351,2602748933,16.13696345,6.4,3.006217253,10351398052,0.3147194,1083682750,0,0,24.2296,46.07901851,14.6925131,2028,0.30029526,1.2951,7,-602000000,27.98847565,3.502063041,16118000000,12445371014,46.25145566,1.337676268,4753734374,52.51636169,5.925350318,22.11875031,21.03975509,93,3.527952934,9093510,12,6.145724085,1.504729482,87.61364102,1.632089378,0.173763197,2.157808878,1.191645634,0.610773761,0.474554047,6.240634895,3.871126868,0.505621946,0.822309147,0.678273342,0.253948413,0.604639078,6.635584626,1.173352173,-11039301984,3058,9.277537487,8.459011695,7.452388013,2.826411364,0.961733829,3279588,16.74657095,50.32040732,2,6,23.805,0.291859755,6
4,1984,37,0,3.95E+11,6998.501728,0.673773541,3237171929,15.1679771,4.7,2.565680826,12326916155,0.001012945,4866734.718,0,0,29.3668,52.75495299,23.09570613,6590.9,0.030376064,0.7518,11.4,-28071358500,26.96866815,-0.056862134,-197280900,-262411412.6,36.43797689,-0.075261594,-347322544.8,40.35056168,2.276235592,20.58641581,21.99987675,65,5.022725093,241930,11,6.304546283,6.818624856,80.65302679,1.532222586,0.65926902,1.350175283,3.538151639,1.701061073,4.261547328,13.04242693,6.800587096,2.225481742,1.595318515,1.508037231,1.040117877,3.220622065,9.96152557,0.352176572,-320180766.2,7336,6.722321765,6.487244247,7.018976244,233.2165172,0.158261863,7807463,17.64100494,51.3868767,2,5,21.56,0.385794972,7
5,1984,32,0,2.35E+11,226.292532,4.248950391,11099150701,4.382432454,1.7,5.531551539,14449574246,0.181648238,474503342.8,0,0,20.4928,58.14729011,8.2816464,3954.9,2.963727598,2.8,6.82,-6786576036,9.529727783,0.023808665,173291426.2,61889795.06,0.263385086,0.483945715,1258000000,18.85407519,15.13917176,15.04273806,35.17484573,73,4.991894025,9388250,12,4.2523276,9.641563632,76.11323963,4.114544934,1.265827884,2.119919264,8.840248653,1.806483843,1.487408195,15.51988784,6.852281397,1.476877789,3.8133732,0.726301756,0.547519785,0.964420847,7.215624928,0.076294944,1274863571,1016625,8.171359365,8.262446045,5.683465696,110.4385801,1.312068761,6667007,2.896101585,48.69176552,4,7,77.797,0.469834594,6
6,1984,32,0,3.71E+11,6563.577317,0.515775312,2248378054,14.70357156,4.5,0.142905393,622956046.1,7.73E-05,336866.1498,0,0,13.5804,48.79464348,19.45607852,3927.2,0.000990707,0.9074,9.5,-519508800,21.07015497,-0.425609453,-1685535300,-1857543862,29.01551073,0.302591867,1320641872,35.94612583,3.225852384,18.1887881,23.04528872,93,10.76184515,294110,11,7.948896828,12.74848835,75.49294929,1.115253816,1.244404276,2.382047813,8.658268701,0.673739452,2.484439827,16.55815389,10.5109099,13.81006383,1.174409975,11.48048093,0.548018406,5.021819801,24.05937361,0.133501729,-1372666630,6768,6.850358361,6.689961362,6.807776328,192.3658427,0.022350913,3425431,9.057368713,51.32144094,3,6,33.154,0.082694694,8
7,1984,32,0,1.08E+12,8965.525444,0.437806838,5749410745,17.79147602,4.843854,0.004968351,65245881.16,0.001174456,15423309.48,0.015649697,205516514.3,4.1844,47.09887976,14.48267746,5957.7,0.015705702,237.5225,6.2,3.04E+11,14.72270399,2.44966842,7.62E+12,32084287694,36.26948672,-0.00076351,-10000000,102.6858028,4.463899016,14.62613783,29.11040386,82,1.743512926,364700,12,3.180274032,7.475039814,75.5820706,10.2694263,0.274456035,4.19746935,3.055826478,1.573233822,1.867243378,21.23765537,1.520407871,22.1340947,18.00668571,2.594440621,1.125596899,1.938576962,28.5382592,0.002835594,3210607712,8674,6.496418911,7.736605964,8.609211857,329.0869208,0.634413291,29946951,32.57320153,50.64313021,3,6,23.397,0.165368105,6
8,1984,28,0,4.48E+11,7938.264228,0.467618382,2478891803,15.32426997,4.7,0.080401524,426216519.2,0.000920313,4878670.918,0,0,17.5146,51.55826319,19.36798353,5976.8,0.027331188,1.3323,9.9,1000000,23.66243546,0.110054562,781000000,586204308.3,40.08200826,0.450200809,2397989219,59.13713621,1.524469431,22.36672266,21.15090862,94,7.073368212,547566,11,16.21993714,10.95530483,67.00463843,1.146174178,0.565588948,1.995546937,7.263615895,0.659315711,5.145182757,16.77542443,12.84597166,9.785458674,1.226471814,6.794000757,0.35046168,5.512784312,17.27049034,0.051745803,-2538467312,6745,7.395609685,7.551126236,7.170769061,103.1305249,0.558455201,8880643,21.37422822,50.80175681,3,6,26.425,0.275038779,7
9,1984,24,0,1.57E+11,10081.85829,0.755698679,1446906034,15.89075615,5.1,1.57750804,3020391543,0.398932478,763820057.6,0,0,24.0946,51.63397214,15.30221293,1609.3,0.889303263,1.1042,7.1,29000000,13.55848119,-1.463024239,-3126000000,-2831008875,37.77693005,0.193583955,374592490.9,36.11698504,4.630766129,18.31962821,26.63911601,62,7.869237615,7682300,12,6.744535287,5.928501053,74.46533162,10.49250849,0.430723101,0.746053763,4.227917018,1.468292401,1.424638316,18.79013309,1.734931049,5.55671259,5.468713338,0.0781483,0.809833577,0.72260999,8.324558617,0.103194155,-3711284188,2276,8.27409454,7.961946543,7.453076583,2.023352381,1.132221845,3393661,25.529245,50.07753815,1,6,14.48,1.547429445,6
