Year,Country,Medals,Host country
1984,United States,174    ,1
1984,Germany,59    ,0
1984,Romania,53    ,0
1984,Canada,44    ,0
1984,United Kingdom,37    ,0
1984,China,32    ,0
1984,Italy,32    ,0
1984,Japan,32    ,0
1984,France,28    ,0
1984,Australia,24    ,0
1984,"Korea, Rep.",19    ,0
1984,Sweden,19    ,0
1984,Netherlands,13    ,0
1984,Finland,12    ,0
1984,New Zealand,11    ,0
1984,Brazil,8    ,0
1984,Switzerland,8    ,0
1984,Mexico,6    ,0
1984,Denmark,6    ,0
1984,Spain,5    ,0
1984,Belgium,4    ,0
1984,Austria,3    ,0
1984,Kenya,3    ,0
1984,Portugal,3    ,0
1984,Jamaica,3    ,0
1984,Norway,3    ,0
1984,Turkey,3    ,0
1984,"Venezuela, RB",3    ,0
1984,Morocco,2    ,0
1984,Greece,2    ,0
1984,Nigeria,2    ,0
1984,Puerto Rico,2    ,0
1984,Algeria,2    ,0
1984,Pakistan,1    ,0
1984,Cote d'Ivoire,1    ,0
1984,Colombia,1    ,0
1984,"Egypt, Arab Rep.",1    ,0
1984,Ireland,1    ,0
1984,Peru,1    ,0
1984,Syrian Arab Republic,1    ,0
1984,Thailand,1    ,0
1984,Cameroon,1    ,0
1984,Dominican Republic,1    ,0
1984,Iceland,1    ,0
1984,Zambia,1    ,0
1988,Russian Federation,132    ,0
1988,Germany,142,0
1988,United States,94    ,0
1988,Bulgaria,35    ,0
1988,"Korea, Rep.",33    ,1
1988,China,28    ,0
1988,Romania,24    ,0
1988,United Kingdom,24    ,0
1988,Hungary,23    ,0
1988,France,16    ,0
1988,Poland,16    ,0
1988,Italy,14    ,0
1988,Japan,14    ,0
1988,Australia,14    ,0
1988,New Zealand,13    ,0
1988,Sweden,11    ,0
1988,Canada,10    ,0
1988,Kenya,9    ,0
1988,Netherlands,9    ,0
1988,Brazil,6    ,0
1988,Norway,5    ,0
1988,Denmark,4    ,0
1988,Finland,4    ,0
1988,Spain,4    ,0
1988,Switzerland,4    ,0
1988,Morocco,3    ,0
1988,Turkey,2    ,0
1988,Jamaica,2    ,0
1988,Argentina,2    ,0
1988,Belgium,2    ,0
1988,Mexico,2    ,0
1988,Austria,1    ,0
1988,Portugal,1    ,0
1988,Suriname,1    ,0
1988,Chile,1    ,0
1988,Costa Rica,1    ,0
1988,Indonesia,1    ,0
1988,"Iran, Islamic Rep.",1    ,0
1988,Peru,1    ,0
1988,Senegal,1    ,0
1988,Virgin Islands (U.S.),1    ,0
1988,Colombia,1    ,0
1988,Djibouti,1    ,0
1988,Greece,1    ,0
1988,Mongolia,1    ,0
1988,Pakistan,1    ,0
1988,Philippines,1    ,0
1988,Thailand,1    ,0
1992,Russian Federation,112    ,0
1992,United States,108    ,0
1992,Germany,82    ,0
1992,China,54    ,0
1992,Cuba,31    ,0
1992,Hungary,30    ,0
1992,"Korea, Rep.",29    ,0
1992,France,29    ,0
1992,Australia,27    ,0
1992,Spain,22    ,1
1992,Japan,22    ,0
1992,United Kingdom,20    ,0
1992,Italy,19    ,0
1992,Poland,19    ,0
1992,Canada,18    ,0
1992,Romania,18    ,0
1992,Bulgaria,16    ,0
1992,Netherlands,15    ,0
1992,Sweden,12    ,0
1992,New Zealand,10    ,0
1992,"Korea, Dem. People’s Rep.",9    ,0
1992,Kenya,8    ,0
1992,Norway,7    ,0
1992,Turkey,6    ,0
1992,Denmark,6    ,0
1992,Indonesia,5    ,0
1992,Finland,5    ,0
1992,Jamaica,4    ,0
1992,Nigeria,4    ,0
1992,Brazil,3    ,0
1992,Morocco,3    ,0
1992,Ethiopia,3    ,0
1992,Latvia,3    ,0
1992,Belgium,3    ,0
1992,Croatia,3    ,0
1992,"Iran, Islamic Rep.",3    ,0
1992,Greece,2    ,0
1992,Ireland,2    ,0
1992,Algeria,2    ,0
1992,Estonia,2    ,0
1992,Lithuania,2    ,0
1992,Austria,2    ,0
1992,Namibia,2    ,0
1992,South Africa,2    ,0
1992,Israel,2    ,0
1992,Mongolia,2    ,0
1992,Slovenia,2    ,0
1992,Switzerland,1    ,0
1992,Mexico,1    ,0
1992,Peru,1    ,0
1992,Argentina,1    ,0
1992,"Bahamas, The",1    ,0
1992,Colombia,1    ,0
1992,Ghana,1    ,0
1992,Malaysia,1    ,0
1992,Pakistan,1    ,0
1992,Philippines,1    ,0
1992,Puerto Rico,1    ,0
1992,Qatar,1    ,0
1992,Suriname,1    ,0
1992,Thailand,1    ,0
1996,United States,101    ,1
1996,Germany,65    ,0
1996,Russian Federation,63    ,0
1996,China,50    ,0
1996,Australia,41    ,0
1996,France,37    ,0
1996,Italy,35    ,0
1996,"Korea, Rep.",27    ,0
1996,Cuba,25    ,0
1996,Ukraine,23    ,0
1996,Canada,22    ,0
1996,Hungary,21    ,0
1996,Romania,20    ,0
1996,Netherlands,19    ,0
1996,Poland,17    ,0
1996,Spain,17    ,0
1996,Bulgaria,15    ,0
1996,Brazil,15    ,0
1996,United Kingdom,15    ,0
1996,Belarus,15    ,0
1996,Japan,14    ,0
1996,Czech Republic,11    ,0
1996,Kazakhstan,11    ,0
1996,Greece,8    ,0
1996,Sweden,8    ,0
1996,Kenya,8    ,0
1996,Switzerland,7    ,0
1996,Norway,7    ,0
1996,Denmark,6    ,0
1996,Turkey,6    ,0
1996,New Zealand,6    ,0
1996,Belgium,6    ,0
1996,Nigeria,6    ,0
1996,Jamaica,6    ,0
1996,South Africa,5    ,0
1996,"Korea, Dem. People’s Rep.",5    ,0
1996,Ireland,4    ,0
1996,Finland,4    ,0
1996,Indonesia,4    ,0
1996,Algeria,3    ,0
1996,Ethiopia,3    ,0
1996,"Iran, Islamic Rep.",3    ,0
1996,Slovak Republic,3    ,0
1996,Argentina,3    ,0
1996,Austria,3    ,0
1996,Armenia,2    ,0
1996,Croatia,2    ,0
1996,Portugal,2    ,0
1996,Thailand,2    ,0
1996,Namibia,2    ,0
1996,Slovenia,2    ,0
1996,Malaysia,2    ,0
1996,Moldova,2    ,0
1996,Uzbekistan,2    ,0
1996,Georgia,2    ,0
1996,Morocco,2    ,0
1996,Trinidad and Tobago,2    ,0
1996,Burundi,1    ,0
1996,Costa Rica,1    ,0
1996,Ecuador,1    ,0
1996,"Hong Kong SAR, China",1    ,0
1996,Syrian Arab Republic,1    ,0
1996,Azerbaijan,1    ,0
1996,"Bahamas, The",1    ,0
1996,Latvia,1    ,0
1996,Philippines,1    ,0
1996,Tonga,1    ,0
1996,Zambia,1    ,0
1996,India,1    ,0
1996,Israel,1    ,0
1996,Lithuania,1    ,0
1996,Mexico,1    ,0
1996,Mongolia,1    ,0
1996,Mozambique,1    ,0
1996,Puerto Rico,1    ,0
1996,Tunisia,1    ,0
1996,Uganda,1    ,0
2000,United States,91    ,0
2000,Russian Federation,88    ,0
2000,China,59    ,0
2000,Australia,58    ,1
2000,Germany,56    ,0
2000,France,38    ,0
2000,Italy,34    ,0
2000,Cuba,29    ,0
2000,United Kingdom,28    ,0
2000,"Korea, Rep.",28    ,0
2000,Netherlands,25    ,0
2000,Romania,25    ,0
2000,Ukraine,23    ,0
2000,Japan,18    ,0
2000,Hungary,17    ,0
2000,Belarus,17    ,0
2000,Poland,14    ,0
2000,Canada,14    ,0
2000,Bulgaria,13    ,0
2000,Greece,13    ,0
2000,Sweden,12    ,0
2000,Brazil,12    ,0
2000,Spain,11    ,0
